,postag
696,"[('membantu', 'VB'), ('mudah', 'JJ'), ('mantap', 'RB'), ('pokonya', 'RB')]"
697,"[('pelayanan', 'NN'), ('cepat', 'JJ')]"
698,"[('membantu', 'VB')]"
699,"[('aplikasi', 'NN'), ('membantu', 'VB'), ('terima', 'CD'), ('kasih', 'NN'), ('halodoc', 'FW')]"
700,"[('memudahkan', 'VB'), ('pandemi', 'IN')]"
701,"[('pelan', 'NN'), ('dibuka', 'VB'), ('ngelag', 'NN')]"
702,"[('praktis', 'JJ'), ('antre', 'FW'), ('dokter', 'FW'), ('cepat', 'FW'), ('respon', 'FW')]"
703,"[('membantu', 'VB')]"
704,"[('dokter', 'NN'), ('ramah', 'NN'), ('cepat', 'JJ'), ('respon', 'NN'), ('terima', 'VB'), ('kasih', 'MD')]"
705,"[('membantu', 'VB')]"
706,"[('beli', 'VB'), ('obat', 'NN'), ('jam', 'NN'), ('gampang', 'NN'), ('ribet', 'NN'), ('terima', 'VB'), ('kasih', 'NN'), ('halodoc', 'FW')]"
707,"[('pakai', 'VB'), ('konsultasi', 'NN'), ('hasil', 'NN'), ('bagus', 'JJ')]"
708,"[('pelayanan', 'NN'), ('prima', 'OD')]"
709,"[('membantu', 'VB'), ('kondisi', 'NN'), ('penyakit', 'NN')]"
710,"[('membantu', 'VB'), ('disat', 'NN'), ('situasi', 'NN'), ('pandemi', 'NN'), ('sat', 'NN')]"
711,"[('membantu', 'VB')]"
712,"[('oke', 'FW')]"
713,"[('membantu', 'VB')]"
714,"[('dokter', 'NN'), ('cepat', 'JJ'), ('tangap', 'VB'), ('mendengarkan', 'VB'), ('keluhan', 'NN')]"
715,"[('membantu', 'VB'), ('disat', 'NN'), ('sukses', 'FW'), ('halodoc', 'FW')]"
716,"[('membantu', 'VB')]"
717,"[('membantu', 'VB')]"
718,"[('membantu', 'VB')]"
719,"[('membantu', 'VB')]"
720,"[('membantu', 'VB')]"
721,"[('membantu', 'VB')]"
722,"[('membantu', 'VB')]"
723,"[('membantu', 'VB')]"
724,"[('respon', 'NN'), ('dokter', 'NN'), ('ramah', 'NN'), ('cepat', 'JJ'), ('semoga', 'NN'), ('sukses', 'JJ')]"
725,"[('membantu', 'VB')]"
726,"[('aplikasi', 'NN'), ('dibutuhkan', 'VB'), ('rumah', 'NN'), ('sakit', 'JJ')]"
727,"[('membantu', 'VB')]"
728,"[('memuaskan', 'VB'), ('cepat', 'JJ'), ('obat', 'NN'), ('apapun', 'SC'), ('tersedia', 'VB')]"
729,"[('membantu', 'VB')]"
730,"[('membantu', 'VB')]"
731,"[('membantu', 'VB')]"
732,"[('membantu', 'VB')]"
733,"[('membatu', 'CD')]"
734,"[('halodock', 'NN'), ('membantu', 'VB'), ('sat', 'NN'), ('sakit', 'JJ')]"
735,"[('membantu', 'VB')]"
736,"[('mengunakan', 'VB'), ('metode', 'NN'), ('perbayar', 'VB'), ('yok', 'NN')]"
737,"[('membantu', 'VB')]"
738,"[('membantu', 'VB')]"
739,"[('membantu', 'VB')]"
740,"[('membantu', 'VB')]"
741,"[('membantu', 'VB'), ('berobat', 'NN'), ('pandemi', 'JJ')]"
742,"[('membantu', 'VB')]"
743,"[('terima', 'CD'), ('kasih', 'NN'), ('dokter', 'NN'), ('ramah', 'JJ')]"
744,"[('aplikasi', 'NN'), ('membantu', 'VB'), ('apalg', 'NN'), ('disat', 'NN'), ('pandemi', 'JJ')]"
745,"[('layanan', 'NN'), ('konsultasi', 'NN'), ('kesehatan', 'NN'), ('gercep', 'NN'), ('sederhana', 'JJ')]"
746,"[('membantu', 'VB')]"
747,"[('membantu', 'VB')]"
748,"[('membantu', 'VB')]"
749,"[('membantu', 'VB'), ('sat', 'NN'), ('pandemi', 'JJ')]"
750,"[('cepat', 'JJ'), ('praktis', 'JJ')]"
751,"[('membantu', 'VB'), ('pandemi', 'IN')]"
752,"[('seru', 'MD'), ('sih', 'VB'), ('ngobrol', 'NN'), ('bareng', 'NN'), ('dokter', 'NN'), ('teman', 'NN'), ('curahan', 'NN'), ('hati', 'VB')]"
753,"[('dokter', 'NN'), ('ramah', 'NN'), ('puas', 'JJ'), ('solusinya', 'RB')]"
754,"[('membantu', 'VB')]"
755,"[('membanty', 'FW')]"
756,"[('sat', 'NN'), ('membantu', 'VB'), ('pandemi', 'NN'), ('dokter', 'NN'), ('bagus', 'JJ')]"
757,"[('mantap', 'RB'), ('mbantu', 'VB'), ('adan', 'NN'), ('darurat', 'NN')]"
758,"[('sngat', 'RB'), ('puas', 'JJ'), ('dokter', 'NN'), ('kasih', 'NN'), ('arahan', 'NN'), ('terima', 'VB'), ('kasih', 'MD')]"
759,"[('puas', 'JJ'), ('pelayanan', 'NN'), ('semoga', 'NN'), ('berkah', 'NN'), ('sehat', 'JJ')]"
760,"[('obat', 'NN'), ('dokter', 'NN'), ('manjur', 'NN'), ('terima', 'VB'), ('kasih', 'MD'), ('dok', 'VB')]"
761,"[('dokter', 'NN'), ('ramah', 'NN'), ('perhatian', 'NN'), ('terima', 'VB'), ('kasih', 'NN'), ('halodoc', 'FW')]"
762,"[('membantu', 'VB'), ('pandemin', 'NN')]"
763,"[('membantu', 'VB'), ('dokter', 'NN'), ('ramah', 'JJ')]"
764,"[('terbantu', 'VB'), ('pandemi', 'NN'), ('masi', 'NN'), ('takut', 'JJ'), ('rumah', 'NN'), ('sakit', 'JJ')]"
765,"[('ramah', 'NN'), ('respon', 'NN'), ('cepat', 'JJ'), ('terima', 'VB'), ('kasih', 'MD')]"
766,"[('singkat', 'NN'), ('padat', 'NN'), ('gapake', 'NN'), ('chat', 'VB'), ('dokter', 'NN'), ('spesialis', 'NN')]"
767,"[('membantu', 'VB'), ('sat', 'NN'), ('situasi', 'NN'), ('bgni', 'PR')]"
768,"[('ah', 'VB'), ('nyaman', 'NN'), ('dokter', 'NN'), ('suka', 'VB'), ('deh', 'IN')]"
769,"[('respon', 'NN'), ('dokter', 'NN'), ('cepat', 'JJ'), ('detail', 'NN'), ('pengiriman', 'NN'), ('obat', 'NN'), ('cepat', 'JJ')]"
770,"[('respon', 'NN'), ('dokter', 'NN'), ('aplikasi', 'NN'), ('membantu', 'VB'), ('pasien', 'NN')]"
771,"[('membantu', 'VB'), ('pandemi', 'NN'), ('sih', 'NN'), ('demam', 'NN')]"
772,"[('membantu', 'VB'), ('aplikasi', 'NN')]"
773,"[('membantu', 'VB')]"
774,"[('membantu', 'VB'), ('terima', 'CD'), ('kasih', 'NN'), ('halodoc', 'FW')]"
775,"[('terima', 'CD'), ('kasih', 'NN'), ('kasih', 'NN'), ('bantuan', 'NN'), ('halo', 'NN'), ('dok', 'VB')]"
776,"[('membantu', 'VB')]"
777,"[('membantu', 'VB'), ('mengunakan', 'VB'), ('halodoc', 'FW'), ('dokter', 'FW')]"
778,"[('pelayanan', 'NN'), ('bagus', 'JJ'), ('obat', 'NN'), ('cepat', 'JJ')]"
779,"[('membantu', 'VB')]"
780,"[('membantu', 'VB')]"
781,"[('alhamdulilah', 'MD'), ('pakai', 'VB'), ('halodoc', 'NN'), ('gratis', 'JJ'), ('bayar', 'VB')]"
782,"[('dokter', 'NN'), ('penjelasan', 'NN'), ('resep', 'NN')]"
783,"[('membantu', 'VB'), ('kondisi', 'NN'), ('menentu', 'PR')]"
784,"[('terbaik', 'JJ'), ('membantu', 'VB'), ('pandemi', 'IN')]"
785,"[('membantu', 'VB'), ('rumah', 'NN'), ('terima', 'VB'), ('kasih', 'MD')]"
786,"[('suka', 'VB'), ('dokter', 'NN'), ('aplikasi', 'NN'), ('halodoc', 'FW')]"
787,"[('membantu', 'VB'), ('dikala', 'NN'), ('pendemi', 'JJ')]"
788,"[('membantu', 'VB')]"
789,"[('dokter', 'NN'), ('ramah', 'NN'), ('respon', 'NN'), ('cepat', 'JJ'), ('koperatif', 'JJ')]"
790,"[('dokter', 'NN'), ('ramah', 'NN'), ('ramah', 'NN'), ('detail', 'NN')]"
791,"[('membantu', 'VB'), ('kebutuhan', 'NN'), ('obat', 'NN'), ('thanks', 'NN')]"
792,"[('bagus', 'JJ'), ('menolong', 'VB'), ('terima', 'CD'), ('kasih', 'MD')]"
793,"[('daftar', 'IN'), ('vaksin', 'NN'), ('tanggal', 'NN'), ('delapan', 'CD'), ('maret', 'NN'), ('menceknya', 'RB')]"
794,"[('membantu', 'VB'), ('pandemi', 'NN'), ('terima', 'VB'), ('kasih', 'MD'), ('ksh', 'VB')]"
795,"[('semudah', 'MD'), ('diklik', 'VB'), ('praktis', 'JJ'), ('membantu', 'VB')]"
796,"[('pelayanan', 'NN'), ('ramah', 'NN'), ('paham', 'NN'), ('bidangnya', 'RB')]"
797,"[('bagus', 'JJ'), ('aplikasi', 'NN'), ('pu', 'NN'), ('dokter', 'NN'), ('pribadi', 'NN'), ('terima', 'VB'), ('kasih', 'NN'), ('halodoc', 'FW')]"
798,"[('memudahkan', 'VB'), ('konsultasi', 'NN'), ('rumah', 'NN')]"
799,"[('membantu', 'VB'), ('pelayanan', 'NN'), ('dokter', 'NN'), ('memuaskan', 'VB')]"
